,server_name,point_winner,num_shot,how,Service,tension_score,10_last_ALCARAZ,serve_side,SINNER_avg_vx,SINNER_avg_vy,SINNER_max_vx,SINNER_max_vy,SINNER_avg_v,SINNER_max_v,SINNER_avg_power,SINNER_max_power,ALCARAZ_avg_vx,ALCARAZ_avg_vy,ALCARAZ_max_vx,ALCARAZ_max_vy,ALCARAZ_avg_v,ALCARAZ_max_v,ALCARAZ_avg_power,ALCARAZ_max_power,SINNER_avg_speed,SINNER_max_speed,SINNER_avg_depth,SINNER_lift_pct,SINNER_avg_laterality,SINNER_speed_std,SINNER_depth_std,SINNER_laterality_std,ALCARAZ_avg_speed,ALCARAZ_max_speed,ALCARAZ_avg_depth,ALCARAZ_lift_pct,ALCARAZ_avg_laterality,ALCARAZ_speed_std,ALCARAZ_depth_std,ALCARAZ_laterality_std,ALCARAZ__service_speed,ALCARAZ__service_laterality,ALCARAZ__service_depth,SINNER__service_speed,SINNER__service_laterality,SINNER__service_depth,service_int,serve_side_int,server_name_int,target,pred_prob_alcaraz,momentum_point_alcaraz,momentum_point_sinner,momentum_smooth_alcaraz,momentum_smooth_sinner,rolling_momentum_alcaraz
2,SINNER,ALCARAZ,4,ERROR,2nd Serve,12,0.0,Right,9.619176136363636,8.989517045454544,20.97,24.659999999999997,19.329080951814884,37.200562631694694,229.51399285484908,943.28,5.858352272727273,5.554261363636363,11.879999999999999,14.22,9.768459474470513,17.99111271070046,73.87296282915864,264.90000000000015,110.09893349200993,110.09893349200993,56.583929322675644,0.0,8.383961117861482,0.0,0.0,0.0,149.05362464660237,149.05362464660237,97.47580984434161,0.0,74.48359659781289,0.0,0.0,0.0,116.75692145454924,78.37181044957472,75.09465713083719,0.0,0.0,0.0,2,1,0,1,0.995214,0.990428,-0.990428,0.9904279708862305,-0.9904279708862305,0.0
3,SINNER,SINNER,12,ERROR,1st Serve,26,50.0,Left,5.078973607038123,7.58934017595308,13.301999999999975,20.07359999999998,13.855633632714452,29.97139992436881,154.32073675339552,610.61,6.0175953079178885,3.2972287390029327,14.040000000000001,10.080000000000002,8.260028668002079,17.300101569516674,53.241452401407294,201.02499999999998,119.93227757029051,139.06068993460644,66.98359276398821,100.0,49.40461725394896,17.141833917048206,9.880878158671939,28.963176672781586,125.72233597414932,176.82128852911816,77.6525031552377,100.0,58.639125151883356,33.184862290493164,10.57963949724927,13.982668928423744,0.0,0.0,0.0,213.4572761751898,6.682867557715674,84.3871975019516,1,0,0,0,0.04956465,-0.9008707,0.9008707,-0.0602935022777981,0.0602935022777981,0.044778645038604736
7,SINNER,ALCARAZ,13,ERROR,2nd Serve,17,33.333333333333336,Right,5.197892670157068,7.192225130890053,14.4,18.666000000000007,13.038800673079747,25.045514270300526,135.7875087020003,447.72,6.175523560209423,4.447892670157069,15.120000000000001,12.600000000000003,9.258605402300832,17.775214810931104,53.800299313768434,189.00000000000003,125.49215954105848,134.70582777556638,71.4598233066891,100.0,51.00850546780073,9.239354711196821,10.779306716214037,21.17189010755598,117.1077920794562,151.5341286197151,67.3397840415089,100.0,48.76468205751316,28.88142738374697,12.337460268465698,20.62805133375457,0.0,0.0,0.0,166.88366902191828,60.87484811664642,69.24277907884465,2,1,0,1,0.933278,0.86655605,-0.86655605,0.31956287094804103,-0.31956287094804103,0.31870444615681964
9,SINNER,ALCARAZ,3,ERROR,2nd Serve,17,37.5,Right,3.6710439560439565,7.5659340659340675,9.0,20.160000000000004,11.199140045668715,21.531089184128597,90.36202335858587,337.96100000000007,4.71824175824176,6.34054945054945,9.360000000000001,12.78,9.034911481033836,15.363247008080442,54.57082544191919,150.8428819444442,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,107.32586692136762,107.32586692136762,56.583929322675644,100.0,13.730255164034022,0.0,0.0,0.0,0.0,0.0,0.0,189.96838857033217,63.547995139732684,80.17174082747853,2,1,0,1,0.5151395,0.03027904,-0.03027904,0.2215669933696426,-0.2215669933696426,0.24659809470176697
10,SINNER,ALCARAZ,2,RETURN WINNER,2nd Serve,22,44.44444444444444,Right,3.302142857142858,6.823571428571429,9.323999999999998,26.76599999999998,12.068930246197974,27.673983732129106,136.4933796296296,603.8370000000004,7.500714285714286,4.517857142857143,16.901999999999997,10.043999999999997,10.667973966668843,17.81147108790558,63.16386217948718,175.42500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.79570386491096,93.681652490887,78.14207650273224,2,1,0,1,0.8500724,0.70014477,-0.70014477,0.3639330614299674,-0.3639330614299674,0.33730742931365965
11,SINNER,SINNER,2,RETURN WINNER,2nd Serve,30,50.0,Right,2.2691666666666666,10.789166666666667,6.03,21.96,16.977605267386682,34.30193497567232,181.49986329966328,680.5531199999996,2.544166666666667,5.193333333333333,6.21,12.555,7.408056691281201,13.136311146445705,38.37757786195287,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.91962062110747,78.85783718104496,97.0335675253708,2,1,0,0,0.03301182,-0.93397635,0.93397635,0.012127447964797923,-0.012127447964797923,0.12542679905891418
12,SINNER,ALCARAZ,9,ERROR,2nd Serve,22,50.0,Right,7.937865853658537,7.385731707317073,18.0,19.043999999999997,16.485757756713216,33.44955310745436,174.60787463076576,614.5879999999997,5.9834146341463414,4.8151219512195125,14.76,14.040000000000001,9.751441974647513,19.638989761704163,66.61445197114293,230.94444444444437,120.07404991169513,138.15376324144304,68.4476230542701,100.0,40.46172539489672,22.249283416241255,11.273774127265408,9.68401401952431,129.46302979054556,148.44492970864434,65.64997896508203,100.0,71.38517618469015,22.88136353149361,14.685908268713007,7.683156217940201,0.0,0.0,0.0,156.44120833013986,35.60145808019441,71.58469945355192,2,1,0,1,0.9550179,0.91003585,-0.91003585,0.23936411015360773,-0.23936411015360773,0.23751380613871984
13,SINNER,SINNER,13,WINNER,1st Serve,30,50.0,Right,6.58242090784044,7.968422086854001,15.120000000000001,20.05199999999998,14.699380641569691,26.366669748786325,138.27094190125405,512.928,7.841265474552958,5.915942228335626,16.919999999999998,18.971999999999976,12.032074736428008,21.742688255119724,84.66868333717005,298.00000000000017,120.28229863357679,145.45436894717065,68.4812789230122,100.0,52.85540704738761,19.91236716922272,22.34669534932847,14.797897786282704,107.84499833916273,146.6694564766384,66.59655027345393,83.33333333333334,61.07735925475902,38.96484201312824,16.90650567528388,9.799697901373406,0.0,0.0,0.0,208.6946823038713,34.629404617253954,87.19750195160032,1,1,0,0,0.05822368,-0.8835527,0.8835527,-0.030493908687104998,0.030493908687104998,0.09738049656152725
14,SINNER,SINNER,4,ERROR,1st Serve,22,50.0,Right,4.78990243902439,6.96629268292683,11.447999999999995,18.360000000000003,13.83124104730885,32.36990855988815,149.00071919691968,535.6779999999995,7.909609756097562,6.140926829268294,18.287999999999993,18.359999999999992,12.478406247578473,24.303241193612514,137.6685145077008,518.9374999999999,148.7951451737284,148.7951451737284,55.91081194783341,100.0,83.23207776427704,0.0,0.0,0.0,68.55704472866952,68.55704472866952,76.18847286495583,100.0,21.74969623329283,0.0,0.0,0.0,0.0,0.0,0.0,209.87928210278747,7.168894289185905,84.07494145199064,1,1,0,0,0.009056317,-0.98188734,0.98188734,-0.250270511333584,0.250270511333584,-0.022538152005937364
15,SINNER,SINNER,3,WINNER,2nd Serve,17,40.0,Right,2.712121212121213,6.981212121212122,5.795999999999998,18.756,9.753929837429085,19.4671966096079,101.33680555555554,444.5999999999999,4.034242424242425,3.9193939393939394,9.035999999999998,10.547999999999995,7.322367068078557,11.82167614437279,37.4540111400463,114.93749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.40555079388824,113.40555079388824,51.03071098022718,100.0,35.84447144592953,0.0,0.0,0.0,0.0,0.0,0.0,182.07587543584512,99.27095990279466,100.62451209992193,2,1,0,0,0.103060566,-0.79387885,0.79387885,-0.3720703363597275,0.3720703363597275,-0.09967222213745117
